Date,Open,High,Low,Close,Adj Close,Volume
2024-02-12,205.47000122070312,207.82000732421875,205.05999755859372,206.82000732421875,204.56314086914065,1412700
2024-02-13,207.3999938964844,210.3699951171875,205.4199981689453,207.42999267578125,205.1664581298828,2502000
2024-02-14,210.5,219.08999633789065,209.4600067138672,215.17999267578125,212.83189392089844,3413600
2024-02-15,214.3999938964844,216.0399932861328,209.8999938964844,211.0200042724609,208.71730041503903,1828500
2024-02-16,212.07000732421875,215.00999450683597,211.27999877929688,212.25999450683597,209.94374084472656,1441300
2024-02-20,212.47000122070312,213.5,210.1499938964844,210.9900054931641,208.6876220703125,1273800
2024-02-21,211.4900054931641,215.07000732421875,211.16000366210935,215.0,212.6538543701172,1681800
2024-02-22,213.8800048828125,218.1999969482422,213.1499938964844,218.0,215.62112426757807,1844100
2024-02-23,218.82000732421875,221.17999267578125,217.0800018310547,217.9600067138672,215.58157348632807,2050900
2024-02-26,217.22000122070312,219.52999877929688,217.02999877929688,219.44000244140625,217.04541015625,1827700
2024-02-27,219.05999755859372,219.6100006103516,217.16000366210935,219.4499969482422,217.0552978515625,1593000
2024-02-28,219.9900054931641,220.9900054931641,219.3500061035156,220.83999633789065,218.4301300048828,1084800
2024-02-29,222.08999633789065,222.6300048828125,219.17999267578125,220.3500061035156,217.9454803466797,2302500
2024-03-01,220.25,221.75999450683597,217.91000366210935,219.2100067138672,216.8179168701172,1775900
2024-03-04,220.0,221.6199951171875,219.3000030517578,221.3500061035156,218.9345703125,955300
2024-03-05,221.0,222.5200042724609,219.19000244140625,219.8999938964844,217.50038146972656,939700
2024-03-06,219.82000732421875,220.25999450683597,216.6300048828125,219.69000244140625,217.2926788330078,1139500
2024-03-07,219.8800048828125,220.8000030517578,213.47999572753903,213.52999877929688,212.311279296875,1812600
2024-03-08,213.9499969482422,214.91000366210935,212.8000030517578,212.97999572753903,211.764404296875,1274300
2024-03-11,213.0,216.83999633789065,213.0,216.7700042724609,215.5327911376953,1129700
2024-03-12,216.9199981689453,218.75,216.30999755859372,217.75,216.50718688964844,1388600
2024-03-13,217.75,219.47000122070312,217.5200042724609,219.3600006103516,218.1080017089844,936900
2024-03-14,219.08999633789065,219.77999877929688,217.25999450683597,219.41000366210935,218.15771484375,1556100
2024-03-15,217.4499969482422,220.19000244140625,216.8500061035156,217.5,216.2586212158203,4141800
2024-03-18,218.1100006103516,219.75,217.44000244140625,218.88999938964844,217.64068603515625,1112000
